Word ID	Word
850	fawn
3179	gatekeeper
3380	coals
2536	pardon
4380	secondly
768	knelt
2685	yellow
4012	sleek
1399	four
927	nursery
511	sleep
2794	abide
1977	hanging
3055	stronger
2805	garters
3073	appetite
3871	captain
682	saved
3395	assembled
163	consider
13	whose
4691	patches
1975	ripest
1280	swam
3799	whoso
4326	scold
3540	contained
4394	equalled
3272	presents
4685	patched
2630	whatsoever
182	under
1625	lord
1403	sorry
2988	pride
2580	worth
3853	forfeited
2457	merchant
4022	wreath
2989	haughtiness
2390	rescue
3026	wheresoever
1246	compassion
2496	rise
4585	sufficient
4306	supposing
416	sermon
113	every
1015	softened
4837	govern
3366	uncertain
4256	stabbed
2899	screaming
4584	gobbled
2091	chapel
3203	disturb
3054	baking
4224	prize
3335	holiness
2130	wooden
369	conceive
1909	companies
4259	expectation
4579	harrowed
4349	persisted
1472	woods
2738	sexton
1480	delightfully
2208	slipper
670	clothes
4537	enjoy
3901	dwindled
2880	parted
2431	force
3183	sooty
934	quilt
799	tired
487	miller
3759	trodden
1753	feathers
834	horn
1135	nail
162	second
1871	street
1983	valiant
1694	sailed
3707	haughtily
1425	shining
645	even
4194	admire
2437	hide
3568	pace
4215	solemn
4202	thunder
2250	cooking
2313	fingers
1957	liberty
4700	yonder
4742	counterpanes
660	above
2471	conduct
2639	new
3363	net
1908	increasing
875	ever
1816	seeks
278	told
3286	kicked
2073	hero
3880	muzzle
1509	pancakes
3062	sunbeams
266	men
273	kindred
4803	stared
450	here
3127	herd
2982	beck
4506	mew
2914	pursuit
4576	ploughed
2473	represented
1465	path
63	quite
3702	crossbow
2858	natured
1468	strewn
141	daughter
1872	jams
789	leaves
625	climbed
2162	buckles
2822	credit
2010	military
4459	suitable
3935	settled
2643	punishment
3647	ventured
620	golden
1154	envious
2921	ridiculed
2722	divide
1620	owed
3687	straw
1227	angrily
2759	strap
302	brought
1910	patience
2461	turning
1274	guests
3093	drowned
4501	ponds
4727	ebony
2110	plot
242	spoke
220	would
3958	army
253	loused
2611	coins
4285	barks
1973	arms
3213	asses
3839	kettles
119	call
372	therefore
2417	violently
1995	strike
3267	inner
2440	fainting
176	until
3285	calf
2576	slaughtered
912	suffocated
3136	churchyard
3222	ferrying
1402	coffins
3480	holy
2657	brings
4686	trousers
2545	unrewarded
851	hurt
860	grief
81	glass
555	warm
2758	tying
2928	dukes
2032	robbing
4499	mainland
387	midst
1137	hold
1880	unpack
101	must
52	shoot
2672	shepherds
536	locked
876	wore
3907	rights
4546	pursue
1719	famed
276	work
4876	plunged
1422	roof
723	meadows
1624	vow
3573	sharp
1262	leaped
1383	hansel
142	my
3300	fortress
932	shook
3627	sinking
3791	loosen
2179	quiver
3698	wand
121	give
2449	household
1149	bitterest
1643	sentries
4329	dragons
4146	honey
3673	reviewing
879	want
3100	peoples
102	keep
973	enchantress
1153	worse
300	hoe
1448	end
1391	groaned
1801	provide
3966	rib
2235	travel
1038	song
794	nuts
1047	braids
3268	hereupon
233	how
737	hot
124	answer
1969	gate
2980	ordinary
2810	garments
238	badly
2173	crowding
2571	mouths
3595	lad
2870	scullery
1048	ladder
84	after
2136	imaginable
2680	sparkled
829	cottage
1774	wrong
4870	jumping
3848	poked
177	lay
1726	curiosity
4863	balthazar
2749	law
3191	lap
3448	kreuzer
1821	attempt
970	splendid
539	third
1716	amid
1829	youths
3042	vegetables
1212	greet
2420	assuredly
2631	rogue
904	haste
4295	scarf
2016	enter
1814	aloud
436	order
1172	wind
1124	wine
2486	origin
1746	executed
3166	hardhearted
3393	deck
2983	dirtiest
2697	consent
104	over
4777	arrayed
1319	satisfied
2358	sickly
2665	toads
31	reached
3583	clave
1464	crumbs
2018	dwelling
1681	fidelity
2503	wrought
1702	wickedness
502	before
2426	admirably
3032	forehead
344	fittings
2967	fit
3555	somewhere
3067	bringing
3603	fix
2376	befallen
4409	blackened
3522	crew
715	better
1823	thrown
4418	differently
3868	enlisted
1929	valor
1288	hidden
4728	chould
1302	overcome
1001	descend
65	then
275	them
3334	affected
4203	fragment
1539	hansels
1585	thee
2299	safe
3061	school
1386	break
3867	strolled
1156	repulsive
1687	shameful
61	they
22	killed
3930	disreputable
26	sixteen
1409	silver
4168	bank
712	bread
1650	bolted
1002	gloom
2341	meat
2529	gallows
1994	merrily
4796	potatoes
3995	leading
3423	nixie
3265	rocks
4507	herald
2995	clothed
317	good
1621	victory
2340	roast
575	each
1049	mounts
34	went
917	side
1537	bone
523	mean
3307	unharmed
1253	lifted
703	snakes
3040	meets
2505	garment
2915	fishpond
3261	forged
2448	bowls
2790	skins
4388	celebrating
3163	arrives
2686	turnip
3923	hanged
4594	fortnight
463	forgot
1993	dawn
2291	blinded
3197	borne
428	large
891	misfortune
618	whining
2996	velvet
1242	driving
720	god
3196	ha
2565	taler
852	washed
2454	vessels
4442	fellows
797	content
194	laid
4250	safety
3453	medicine
208	got
1443	newly
4110	washes
263	forth
3613	foundation
2053	disputed
3465	assured
3165	written
4783	tops
3445	alms
1743	threatened
10	little
609	free
2421	mourning
3164	thieves
3367	bestow
4163	ancient
3124	whereupon
2328	rain
4276	elsewhere
2760	ovenful
4723	entrap
50	wanted
4749	knit
3387	ammounced
4280	enormous
247	ate
4832	disturber
364	louse
2743	trotting
3420	pence
3914	bears
2849	spindle
3527	disturbed
4583	oppose
4746	delved
4085	leaps
2846	loud
1783	caught
3860	unlatched
4050	chopped
1229	enraged
814	rang
77	already
4033	dunce
3887	thereon
4106	stitch
1881	pots
2487	subtlety
2570	goggle
897	comforted
2305	hearing
1155	lovable
1081	hook
1312	spinning
4653	warped
4726	blossomed
282	awoke
2151	hazel
531	millers
2569	thick
3575	ditch
4714	onward
0	<UNK>
4776	bitten
1381	dwelt
4515	windmills
4736	lung
4479	nigh
469	service
4184	immovable
337	top
780	neck
225	girls
1355	twisted
3357	needed
1695	master
314	too
4523	tom
3028	dwell
465	ordered
2072	bethought
1404	bitter
812	dogs
3198	gnawing
1120	listen
1021	consented
920	curtains
4134	solemnly
3889	refraining
635	happily
3284	bacon
3652	villages
2409	serve
87	took
1720	wisdom
3262	tokens
2867	extended
4211	consideration
3513	wasted
3631	shortly
2507	sulphur
1839	millet
2152	brushed
2217	stocking
1193	bidden
380	distance
4213	swaddling
1390	anxiety
1809	hopping
1358	showed
4827	craved
611	tree
2863	rusty
459	seated
2346	shower
2054	matter
1300	idle
4036	exclaimed
1557	silly
1214	speaking
1561	iron
4475	sparrow
3069	feeling
4807	powers
1581	bridge
2453	fashion
2416	sees
257	handkerchief
379	ran
1043	resound
313	mind
1277	mine
4246	pigs
730	sorrow
2558	talking
1840	seed
945	manner
2101	rap
532	bemoaned
743	seen
3383	seem
4624	grind
1203	seek
2502	tells
4651	ray
1568	cage
229	forced
